"","text"
"1"," anies tetap berlakukan ppkm level  saat nataru di jakarta "
"2"," ppkm nataru    keputusan pemerintah merubah ppkm level  menjadi berbeda level disetiap wilayah indonesia dlm menyambu"
"3"," menurut puan maharani pemerintah sdh tepat menerapkan ppkm dg level berbeda disetiap wilayah dan sdh memenuhi rasa keadi"
"4","  dunia menganggap indonesia sukses menangani pandemi gelombang kedua dg penerapan ppkm dan juga capaian vaksinasi yg j"
"5","   omicron ppkm level  nataru dibatalkan kok bisa ya gk nyambung yg jelas pe "
"6","  puan maharani berharap masyarakat terus mematuhi himbauan pemerintah utk tetap taat proses dalam menyambut nataru ini"
"7"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"8"," balada ppkm darurat yang diperpanjang  seoksoon one tweet au "
"9","ga masalah sih virusnya mau varian abcdef yg ga wajar tuh org udh disuruh psbb lah ppkm lah udh disuruh karantin "
"10","ppkm jilid xxxxxxxxx here we go "
"11"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"12","  ubahlakudesember"
"13","soal istilah ppkm level  batal ini penjelasan mendagri tito karnavian "
"14","   semua tidak terasa aneh selama yang membuat kebijakan pemerintah kalau pemerintah bilang benar ya"
"15"," habis ini ppkm lg "
"16","ppkm pelan pelan kita muak"
"17","ada yang kena varian baru kasus melonjak ppkm lagi ga jadi offline gitu terus kayak lingkaran setan"
"18"," batal kali ppkm level "
"19"," menurut dia situasi pandemi covid di indonesia menunjukkan perbaikan signifikan dan terkendali pada tingkat yang rendah"
"20","  menurut puan maharani kebijakan yang diambil pemerintah akan mengurangi beban masyarakat dgn memberlakukan ppkm sesua"
"21"," keputusan pemerintah membatalkan penerapan ppkm level  di seluruh indonesia ini juga di sambut baik oleh seluruh masyar"
"22"," pembatalan ppkm level  di seluruh wilayah indonesia selama liburnatarutentu mengurangi beban masyarakat  puan maharani"
"23"," ngga keluar rumah karena ppkm  ngga keluar rumah karena emang gapunya duit "
"24"," pemerintah resmi membatalkan ppkm nataru level   ketua dpr ri puan maharani mengapresiasi langkah pemerintah membatalkan"
"25","udahlah dok   useless semuanya kok  liat  kampanye drama  covid omnicorn  mana ada ppkm  ingat mencret kecil banget "
"26"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"27"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"28","pls ppkm natatu jalanin aja  "
"29","  berpendapat keputusan yg diambil pemerintah soal ppkm level  saat nataru ini akan mengurangi beban msrkts"
"30"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"31"," berikutnya  ketua dpr ri  memberikan apresiasi atas keputusan pemerintah yg tdk akan menyamaratakan ppkm leve"
"32"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"33","lt lt  lebih butuh libur daripada ppkm gak jadi"
"34"," ppkm season "
"35"," halo gais selamat mlm denger kabar yang beredar ppkm level  batal yaudah pada punya planning mau liburan kemana b"
"36"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"37","tapi tolong hargai hidup kamu orang di sekitarmu yang memang benarbenar sedang berjuang untuk survive di tahun "
"38","saya tau ini membosankan dan akhirakhir ini kalian juga pasti sudah mendengar bahwa ada varian baru yaitu varian "
"39","  pemberlakuan ppkm ini sudah memenuhi asas keadilan adil yg tidak harus sama rata tetapi adil yg proporsional   masya"
"40"," covid varian baru udah ada nih tinggal nunggu varian lockdwonnya aja sih ini mah psbb ppkm atau apa lagi"
"41","  ketua dpr ri  mengapresiasi keputusan pemerintah yg tidak menyamaratakan pemberlakuan ppkm menjadi level"
"42"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"43","eh kalo ppkm beneran gak jadi alamat nih bakalan rame jalanan kalo pas taun baru ntar"
"44"," gue setelah  bayangin polisi pacar orang tua  teman dekat semua  dunia itu  bajingan kayak kasus pemerkosaan  maka"
"45","gasrem gasremindonesia gasremjakarta gasremsurabaya gasrembandung gasremmedan gasrembali gasremjabodetabek "
"46","  kebijakan  mengurangi beban masyarakat  ditambahkan  kebijakan yang diambil pemerintah ini akan mengurang"
"47","  ketua dpr ri   mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan ppkm selama periode"
"48","untung si aa tetangga sekomplek ppkm level berapa kek    kalau rindu bertemu tinggal nongol depan pintu tang "
"49"," apakah ppkm yang batal akan lanjutkan kembali"
"50"," ppkm yg di sesuaikan dengan kondisi masing daerah telah memenuhi assa keadilan dan semua harus memahami bahwasanya adil"
"51"," capain vaksinasi nasional juga begitu baik menurut puan maharani kebijakan yg diambil pemerintah ini akan mengurangi b"
"52"," anies tetap berlakukan ppkm level  saat nataru di jakarta   konsisten  "
"53"," keputusan pemerintah membatalkan penerapan ppkm level  di seluruh indonesia ini juga di sambut baik oleh seluruh masyar"
"54"," ppkm natal amp  tahun baru  dengan batalnya pemberlakuan ppkm level  selama natal amp  tahun baru oleh pemerintah pusat hal"
"55"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"56"," ppkm berlaku untuk   bulan rhamadhan hari raya idul adha mudik hari raya idul fitri tahun baru islam dan maulid nabi"
"57"," astagaaaaa udh bener lah desember ini ppkm aja dlu bisa bisa ngebludak klo pda wira wiri"
"58","akhir taun udahmah kerja di cut karena ppkm dan mana gue jajan banyak bgt  pinter emg user laibeu"
"59"," sejak november santer berhembus kabar pemerintah akan memberlakukan ppkm level  di seluruh indonesia saat nataru hal ini di"
"60","hmmm ok welcome  harus berapa lama lagi ppkm dan wfh   "
"61"," ohh ternyata batalnya ppkm krn itu"
"62","    kita liat  bulan yang akan datang pasti covid memerah lagi dan akan ppkm"
"63","  puan maharani menambahkan ppkm yg disesuaikan dgn kondisi masingmasing daerah telah memenuhi asas keadilan kita sem"
"64","  menurut puan maharani penanganan pandemi covid di indonesia yang menunjukkan perbaikan signifikan dan terkendali "
"65","  ketua dpr ri puan maharani mengapresiasi keputusan pemerintah yang tidak menyamaratakan pemberlakuan ppkm selama perio"
"66","  puan maharani tanggapi keputusan pemerintah batalkan ppkm level  saat nataru  pemerintah memutuskan utk tdk menerapka"
"67","   pembatalan ppkm level  sudah sesuai asas keadilan"
"68","  pembatalan ppkm level  sudah sesuai asas keadilan"
"69","  menurut puan maharani kebijakan yang diambil pemerintah akan mengurangi beban masyarakat dgn memberlakukan ppkm sesua"
"70","   kita liat  bulan yang akan datang pasti covid memerah lagi dan akan ppkm"
"71","  ketua dpr ri puan maharani sepakat akan alasan pemerintah batal menerapkan ppkm level  karena kasus covid di indone"
"72","       pemberlakuan pembatasan kegiatan masyarakat ppkm level  yg rencananya diterapkan saat"
"73","solusi biar libur akhir tahun ga rame   memperketat ppkm amp  akses perjalanan biar ga banyak yg ke luar kota atau pe "
"74"," sekali lagi teman kami butuh kekuatan jempol netizen untuk mendapatkan keadilan  oknum tni ini melanggar aturan ppkm den"
"75","  menteri agama ribut sama tokoh agama  menteri sosial korupsi dana bantuan sosial  menteri ppa diem aja"
"76","allahu gamau lagi ppkm ppkm "
"77"," ksp moeldoko mengatakan sejumlah pembatasan msh akan diterapkan meskipun pemerintah batal menerapkan ppkm level  saat lib"
"78"," pembatalan ppkm level  di seluruh wilayah indonesia selama liburnatarutentu mengurangi beban masyarakat  puan maharani"
"79"," pemerintah resmi membatalkan ppkm nataru level   ketua dpr ri puan maharani mengapresiasi langkah pemerintah membatalkan"
"80","syukurlah bapak ndak ikutan gubernur asean   buat pergub utk ppkm   "
"81",""
"82"," ksp moeldoko mengatakan sejumlah pembatasan msh akan diterapkan meskipun pemerintah batal menerapkan ppkm level  saat lib"
"83"," sy berharap smg pembatalan ppkm level  selama nataru tdk menyebabkan lonjakan positif covid krna jika terjadi yg terkena da"
"84","  menurut puan maharani kebijakan yang diambil pemerintah akan mengurangi beban masyarakat dgn memberlakukan ppkm sesua"
"85","  ppkm itu kan peraturan pembatasan kegiatan muslim"
"86","  ketua dpr ri puan maharani sepakat akan alasan pemerintah batal menerapkan ppkm level  karena kasus covid di indone"
"87","apakah masih ada ppkm "
"88"," jgn sampai hari raya ada ppkm biar adil"
"89"," lbp has canceled ppkm level  between  december and  january nationally in favor of determining the level according to w"
"90","       pemberlakuan pembatasan kegiatan masyarakat ppkm level  yg rencananya diterapkan saat"
"91"," ppkm pada saat tertentu saja awas jebakan batman"
"92","  sudah kuduga bang ppkm hanya berlaku tuk umat islam saja ga berlaku buat yg lain "
"93","mendagri hindari istilah ppkm level  menjelang perayaan natal dan tahun baru "
"94"," luhut  ppkm level  nataru batal tito      ppkm level  nataru bukan batal cuma ganti judul  pantesan dulu jkw bilang ru"
"95","apasi mulai deh mentang mentang mau akhir taun ada issue ppkm ini itu mulai barbar lg segala jenis varian blablabl "
